No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log-likelihood value
611	solummodo	1434	5.201	6	5	0.117
612	hereo	1183	4.291	5	5	0.112
613	laudo	4595	16.665	18	16	0.105
614	principatus	1194	4.331	5	2	0.099
615	lateo	1456	5.281	6	6	0.094
616	medium	1199	4.349	5	5	0.093
617	propheto	1207	4.378	5	5	0.085
618	mille	3852	13.971	15	12	0.074
619	congruus	1478	5.361	6	6	0.074
620	subiungo	2534	9.19	10	9	0.07
621	arbitror	1750	6.347	7	7	0.065
622	exinde	1244	4.512	5	5	0.051
623	undique	1251	4.537	5	4	0.046
624	uix	1790	6.492	7	7	0.039
625	ordo	10155	36.831	38	29	0.037
626	sex	2330	8.451	9	6	0.035
627	aio	18645	67.623	69	41	0.028
628	perfectio	2371	8.599	9	7	0.018
629	desidero	3198	11.599	12	11	0.014
630	disciplina	2928	10.619	11	10	0.014
631	condicio	1847	6.699	7	7	0.013
632	nitor1	1313	4.762	5	5	0.012
633	repeto	1585	5.749	6	6	0.011
634	tego	1320	4.787	5	5	0.009
635	sensum	2419	8.773	9	9	0.006
636	occurro	2152	7.805	8	7	0.005
637	recedo	3535	12.821	13	12	0.002
638	orno	1621	5.879	6	6	0.002
639	assumo	4097	14.859	15	11	0.001
640	studium	4111	14.91	15	13	0.001
641	abscondo	2190	7.943	8	8	0
642	continuo1	1367	4.958	5	4	0
643	studeo	3844	13.942	14	13	0
644	probo	4948	17.946	18	18	0
645	consto	3616	13.115	13	13	-0.001
646	uestis	2231	8.092	8	7	-0.001
647	excipio	1684	6.108	6	6	-0.002
648	retineo	2244	8.139	8	8	-0.002
649	uenerabilis	4191	15.2	15	14	-0.003
650	monstro	2257	8.186	8	7	-0.004
651	securus	1425	5.168	5	5	-0.006
652	exeo	4226	15.327	15	12	-0.007
653	nuncupo	1437	5.212	5	4	-0.009
654	presens	10088	36.588	36	19	-0.01
655	consedeo	1723	6.249	6	5	-0.01
