No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log Ratio value
426	emendo	1716	6.224	9	8	0.535
427	indico1	2105	7.635	11	11	0.529
428	catholicus	5746	20.84	30	19	0.528
429	uis	7470	27.093	39	20	0.528
430	uanitas	959	3.478	5	4	0.526
431	similiter	5771	20.931	30	25	0.522
432	nomen	25313	91.807	131	87	0.515
433	sumo	4460	16.176	23	19	0.51
434	supra2	3902	14.152	20	14	0.501
435	ingenium	1372	4.976	7	5	0.494
436	colloco	1182	4.287	6	4	0.487
437	noto	2965	10.754	15	14	0.482
438	amen	3393	12.306	17	17	0.468
439	haud	998	3.62	5	5	0.468
440	doctrina	7028	25.49	35	28	0.459
441	consolatio	1431	5.19	7	6	0.433
442	queo	1026	3.721	5	4	0.428
443	propono	2062	7.479	10	7	0.421
444	synodus1	5574	20.216	27	11	0.419
445	pene	2894	10.496	14	13	0.417
446	incarnatio	2283	8.28	11	10	0.412
447	singulus	7284	26.418	35	21	0.408
448	materia1	1460	5.295	7	5	0.404
449	medicus2	1043	3.783	5	5	0.404
450	rite	1043	3.783	5	4	0.404
451	quidam	24360	88.35	116	78	0.394
452	uas2	2311	8.382	11	10	0.394
453	defero	2734	9.916	13	10	0.392
454	tot	1684	6.108	8	6	0.391
455	ostendo	14357	52.071	68	39	0.387
456	episcopatus	1692	6.137	8	7	0.384
457	pulcher	1486	5.39	7	7	0.379
458	hic1	15083	54.704	71	48	0.378
459	.	894868	3245.554	4209	449	0.377
460	liber2	4479	16.245	21	12	0.372
461	disco	4055	14.707	19	19	0.371
462	officium	6002	21.768	28	22	0.365
463	sequor	15585	56.525	72	48	0.351
464	columna	1084	3.932	5	4	0.348
465	memoria	4810	17.445	22	21	0.336
466	sepe	5477	19.864	25	18	0.333
467	hic3	167450	607.316	764	237	0.332
468	exilium	1097	3.979	5	4	0.331
469	difficilis	1097	3.979	5	5	0.331
470	decurro	1098	3.982	5	5	0.33
471	exprimo	2201	7.983	10	8	0.326
472	lucus1	1321	4.791	6	4	0.326
473	breuis1	1545	5.604	7	7	0.322
474	postmodo	1777	6.445	8	7	0.313
475	hactenus	1334	4.838	6	6	0.312
476	transfero	2451	8.889	11	10	0.309
477	tabernaculum	2916	10.576	13	6	0.299
478	spiro	1127	4.088	5	5	0.292
479	preter	2710	9.829	12	12	0.289
480	conditor	1584	5.745	7	7	0.286
481	arbitrium	2270	8.233	10	9	0.282
482	uenerandus	1363	4.943	6	5	0.281
483	augeo	1598	5.796	7	6	0.273
484	monachus	5525	20.038	24	16	0.261
485	recipio	7846	28.456	34	28	0.258
486	canonicus1	1154	4.185	5	4	0.258
487	uerbum	27300	99.013	118	71	0.254
488	proinde	1159	4.204	5	5	0.251
489	ubi	18833	68.305	81	62	0.247
490	dogma	1640	5.948	7	6	0.236
491	paradisus	1879	6.815	8	4	0.232
492	cur	3774	13.688	16	14	0.226
493	multus	21416	77.673	90	63	0.213
494	certe	3334	12.092	14	12	0.212
495	congrego	3349	12.146	14	14	0.206
496	an	4310	15.632	18	12	0.204
497	uarius1	2638	9.568	11	11	0.202
498	pono	17333	62.864	72	44	0.197
499	exhibeo	3621	13.133	15	11	0.193
500	felix	2663	9.658	11	9	0.188
501	siue	22976	83.331	94	62	0.174
502	regnum	16889	61.254	69	39	0.172
503	tantum	9319	33.799	38	25	0.17
504	ceterus	13284	48.179	54	40	0.165
505	congruus	1478	5.361	6	6	0.163
506	littera	7696	27.912	31	28	0.152
507	exinde	1244	4.512	5	5	0.149
508	superius	3237	11.74	13	12	0.148
509	undique	1251	4.537	5	4	0.141
510	subiungo	2534	9.19	10	9	0.122
511	laudo	4595	16.665	18	16	0.112
512	mille	3852	13.971	15	12	0.103
513	accipio	20568	74.597	80	40	0.101
514	sex	2330	8.451	9	6	0.091
515	condicio	1847	6.699	7	7	0.064
516	tego	1320	4.787	5	5	0.063
517	qui2	510903	1852.969	1922	391	0.053
518	disciplina	2928	10.619	11	10	0.051
519	desidero	3198	11.599	12	11	0.049
520	etiam	39518	143.326	148	95	0.046
521	ordo	10155	36.831	38	29	0.045
522	occurro	2152	7.805	8	7	0.036
523	dico3	128642	466.566	477	142	0.032
524	aio	18645	67.623	69	41	0.029
525	recedo	3535	12.821	13	12	0.02
526	assumo	4097	14.859	15	11	0.014
527	continuo1	1367	4.958	5	4	0.012
528	abscondo	2190	7.943	8	8	0.01
529	studium	4111	14.91	15	13	0.009
530	studeo	3844	13.942	14	13	0.006
531	probo	4948	17.946	18	18	0.004
532	consto	3616	13.115	13	13	-0.013
533	uestis	2231	8.092	8	7	-0.016
534	uenerabilis	4191	15.2	15	14	-0.019
535	presens	10088	36.588	36	19	-0.023
536	retineo	2244	8.139	8	8	-0.025
537	excipio	1684	6.108	6	6	-0.026
538	exeo	4226	15.327	15	12	-0.031
539	uiuo	12684	46.003	45	33	-0.032
540	monstro	2257	8.186	8	7	-0.033
541	iuxta1	11099	40.254	39	26	-0.046
542	securus	1425	5.168	5	5	-0.048
543	ut	168062	609.536	587	171	-0.055
544	opus1	24361	88.354	85	57	-0.056
545	regula1	4311	15.635	15	12	-0.06
546	nuncupo	1437	5.212	5	4	-0.06
547	utor	3164	11.475	11	10	-0.061
548	compleo	2602	9.437	9	9	-0.069
549	postulo	2606	9.452	9	6	-0.071
550	insinuo	1739	6.307	6	6	-0.072
551	antea	1450	5.259	5	5	-0.073
552	imperator	8703	31.565	30	20	-0.074
553	bonus	26208	95.053	90	36	-0.079
554	;	116352	421.992	398	151	-0.085
555	apud	14047	50.946	48	32	-0.086
556	fides	30182	109.466	103	51	-0.088
557	reprehendo	1473	5.342	5	5	-0.096
558	precedo	2652	9.618	9	8	-0.096
559	natiuitas	2360	8.559	8	8	-0.098
560	pars	17433	63.227	59	46	-0.1
561	ieiunium	2383	8.643	8	7	-0.112
562	concilium	4771	17.304	16	13	-0.113
563	uocabulum	1799	6.525	6	6	-0.121
564	hereticus2	3927	14.243	13	11	-0.132
565	coniungo	2118	7.682	7	7	-0.135
566	sono	1514	5.491	5	5	-0.136
567	siquidem	3033	11	10	8	-0.138
568	teneo	10923	39.616	36	29	-0.139
569	habeo	59550	215.979	196	111	-0.141
570	locus	27046	98.092	89	60	-0.141
571	decerno	3657	13.263	12	9	-0.145
572	sub	14326	51.958	47	32	-0.145
573	secundum1	20166	73.139	66	50	-0.149
574	numquid	2751	9.978	9	8	-0.149
575	facile	2448	8.879	8	8	-0.151
576	postea	4899	17.768	16	14	-0.152
577	fero	7669	27.814	25	19	-0.154
578	penitentia	8009	29.048	26	14	-0.16
579	auris	3705	13.438	12	12	-0.164
580	doceo	10200	36.994	33	28	-0.165
581	mysterium	5257	19.066	17	14	-0.166
582	patriarcha	2486	9.016	8	7	-0.173
583	eloquium	2486	9.016	8	8	-0.173
584	quomodo	10295	37.338	33	25	-0.179
585	conscientia	2496	9.053	8	8	-0.179
586	medion	3146	11.41	10	10	-0.191
587	considero	2835	10.282	9	7	-0.193
588	adeo1	1586	5.752	5	5	-0.203
589	extremus	1915	6.945	6	6	-0.212
590	apostolus	27482	99.673	86	46	-0.214
591	igitur	11511	41.749	36	27	-0.214
592	trado	8965	32.515	28	22	-0.216
593	quapropter	2248	8.153	7	6	-0.221
594	nam	23565	85.467	73	45	-0.228
595	penite	2590	9.394	8	8	-0.232
596	nimirum	2607	9.455	8	8	-0.242
597	iam	20595	74.695	63	47	-0.246
598	uisio	2627	9.528	8	6	-0.253
599	alius	47026	170.556	143	89	-0.255
600	,	2210261	8016.289	6686	591	-0.263
601	tango	2645	9.593	8	8	-0.263
602	auctoritas	8934	32.402	27	25	-0.264
603	pastor	3648	13.231	11	10	-0.267
604	natura	10944	39.692	33	17	-0.267
605	differo	2004	7.268	6	6	-0.278
606	reliquus	5021	18.21	15	12	-0.281
607	laus	6034	21.884	18	16	-0.283
608	arca	2348	8.516	7	7	-0.284
609	contendo	1681	6.097	5	5	-0.287
610	quod	53580	194.327	159	91	-0.29
611	ueraciter	1702	6.173	5	5	-0.305
612	et	725333	2630.675	2118	402	-0.314
613	insuper1	1715	6.22	5	5	-0.316
614	solus1	8953	32.471	26	24	-0.322
615	misa	3456	12.534	10	9	-0.327
616	nobilis	2434	8.828	7	7	-0.336
617	femen	1741	6.314	5	5	-0.338
618	uelut2	5228	18.961	15	13	-0.339
619	tollo	2793	10.13	8	5	-0.342
620	loquor	15720	57.014	45	38	-0.343
621	donum	4909	17.804	14	9	-0.348
622	cura	4219	15.302	12	10	-0.352
623	paulus	8919	32.348	25	20	-0.373
624	notus	1790	6.492	5	5	-0.378
625	consensus	2152	7.805	6	6	-0.381
626	sum	524045	1900.634	1457	336	-0.385
627	pontifex	6896	25.011	19	18	-0.398
628	totus	19267	69.879	53	44	-0.4
629	archiepiscopus	3644	13.216	10	10	-0.404
630	sufficio	2918	10.583	8	8	-0.405
631	nequaquam	3283	11.907	9	9	-0.405
632	ipse2	84491	306.436	230	131	-0.415
633	figura	2940	10.663	8	7	-0.416
634	appeto	1859	6.742	5	5	-0.433
635	decretum	2986	10.83	8	3	-0.438
636	respondeo	7111	25.791	19	12	-0.442
637	nemo	6740	24.445	18	12	-0.443
638	solum1	10488	38.038	28	26	-0.443
639	dimitto	5627	20.408	15	13	-0.446
640	uterque	7941	28.801	21	17	-0.457
641	at	3787	13.735	10	7	-0.459
642	cum2	48101	174.455	127	83	-0.459
643	super	23579	85.518	62	42	-0.465
644	iterum	6856	24.866	18	16	-0.468
645	longe	3815	13.836	10	9	-0.47
646	mitto	15279	55.415	40	33	-0.472
647	diuido	3443	12.487	9	8	-0.474
648	interpretor	5357	19.429	14	12	-0.474
649	enim	66589	241.508	174	97	-0.474
