No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Dice coefficient value
623	conficio	1462	5.303	9	8	0.001
624	tronus	1193	4.327	9	9	0.001
625	labor2	4996	18.12	11	11	0.001
626	leo	4300	15.596	11	8	0.001
627	comprobo	1126	4.084	9	9	0.001
628	magis	8839	32.058	14	14	0.001
629	medion	3146	11.41	10	10	0.001
630	sufficienter	369	1.338	8	8	0.001
631	persona	7304	26.491	13	10	0.001
632	libellus	1438	5.215	9	9	0.001
633	misa	3456	12.534	10	9	0.001
634	editus1	159	0.577	8	7	0.001
635	pertineo	6671	24.195	12	11	0.001
636	utique	5038	18.272	11	10	0.001
637	29	358	1.298	8	7	0.001
638	adnoto	420	1.523	8	8	0.001
639	censeo	1504	5.455	9	7	0.001
640	claudo	1350	4.896	9	8	0.001
641	notitia	1560	5.658	9	8	0.001
642	tantus	12693	46.036	16	14	0.001
643	archiepiscopus	3644	13.216	10	10	0.001
644	coram2	4891	17.739	11	10	0.001
645	frater	19042	69.063	21	17	0.001
646	angelus	8495	30.81	14	8	0.001
647	presumo	4746	17.213	11	9	0.001
648	inchoo	1018	3.692	9	8	0.001
649	subsequor	1534	5.564	9	8	0.001
650	emendo	1716	6.224	9	8	0.001
651	concludo	1222	4.432	9	7	0.001
652	celum	17298	62.737	20	15	0.001
653	pereo	5041	18.283	11	8	0.001
654	auctus1	141	0.511	8	8	0.001
655	marca2	1320	4.787	9	8	0.001
656	peccatum	26411	95.789	25	23	0.001
