No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Mutual information value
532	synodus1	5574	20.216	27	11	0.417
533	pene	2894	10.496	14	13	0.416
534	incarnatio	2283	8.28	11	10	0.41
535	singulus	7284	26.418	35	21	0.406
536	materia1	1460	5.295	7	5	0.403
537	rite	1043	3.783	5	4	0.402
538	medicus2	1043	3.783	5	5	0.402
539	quidam	24360	88.35	116	78	0.393
540	uas2	2311	8.382	11	10	0.392
541	defero	2734	9.916	13	10	0.391
542	tot	1684	6.108	8	6	0.389
543	ostendo	14357	52.071	68	39	0.385
544	episcopatus	1692	6.137	8	7	0.383
545	pulcher	1486	5.39	7	7	0.377
546	necnon	1487	5.393	7	7	0.376
547	hic1	15083	54.704	71	48	0.376
548	.	894868	3245.554	4209	449	0.375
549	magnitudo	1705	6.184	8	7	0.372
550	liber2	4479	16.245	21	12	0.37
551	disco	4055	14.707	19	19	0.37
552	congruo	1071	3.884	5	5	0.364
553	officium	6002	21.768	28	22	0.363
554	sequor	15585	56.525	72	48	0.349
555	columna	1084	3.932	5	4	0.347
556	quodammodo	1085	3.935	5	4	0.346
557	memoria	4810	17.445	22	21	0.335
558	sepe	5477	19.864	25	18	0.332
559	secularis1	2410	8.741	11	10	0.332
560	hic3	167450	607.316	764	237	0.331
561	exilium	1097	3.979	5	4	0.33
562	difficilis	1097	3.979	5	5	0.33
563	decurro	1098	3.982	5	5	0.328
564	exprimo	2201	7.983	10	8	0.325
565	lucus1	1321	4.791	6	4	0.325
566	breuis1	1545	5.604	7	7	0.321
567	postmodo	1777	6.445	8	7	0.312
568	hactenus	1334	4.838	6	6	0.31
569	transfero	2451	8.889	11	10	0.307
570	tabernaculum	2916	10.576	13	6	0.298
571	spiro	1127	4.088	5	5	0.291
572	preter	2710	9.829	12	12	0.288
573	conditor	1584	5.745	7	7	0.285
574	arbitrium	2270	8.233	10	9	0.281
575	uenerandus	1363	4.943	6	5	0.279
576	augeo	1598	5.796	7	6	0.272
577	monachus	5525	20.038	24	16	0.26
578	recipio	7846	28.456	34	28	0.257
579	canonicus1	1154	4.185	5	4	0.257
580	uerbum	27300	99.013	118	71	0.253
581	proinde	1159	4.204	5	5	0.25
582	ubi	18833	68.305	81	62	0.246
583	dextera	3030	10.989	13	6	0.242
584	utilis	1632	5.919	7	7	0.242
585	dogma	1640	5.948	7	6	0.235
586	argumentum	1407	5.103	6	6	0.234
587	paradisus	1879	6.815	8	4	0.231
588	cur	3774	13.688	16	14	0.225
589	hereo	1183	4.291	5	5	0.221
590	multus	21416	77.673	90	63	0.213
591	certe	3334	12.092	14	12	0.211
592	principatus	1194	4.331	5	2	0.207
593	solummodo	1434	5.201	6	5	0.206
594	congrego	3349	12.146	14	14	0.205
595	an	4310	15.632	18	12	0.204
596	medium	1199	4.349	5	5	0.201
597	uarius1	2638	9.568	11	11	0.201
598	porro	2399	8.701	10	9	0.201
599	pono	17333	62.864	72	44	0.196
600	propheto	1207	4.378	5	5	0.192
601	exhibeo	3621	13.133	15	11	0.192
602	felix	2663	9.658	11	9	0.188
603	lateo	1456	5.281	6	6	0.184
604	siue	22976	83.331	94	62	0.174
605	regnum	16889	61.254	69	39	0.172
606	tantum	9319	33.799	38	25	0.169
607	sedeo	5409	19.618	22	15	0.165
608	ceterus	13284	48.179	54	40	0.165
609	congruus	1478	5.361	6	6	0.163
610	quippe	7694	27.905	31	21	0.152
611	littera	7696	27.912	31	28	0.151
612	exinde	1244	4.512	5	5	0.148
613	superius	3237	11.74	13	12	0.147
614	arbitror	1750	6.347	7	7	0.141
615	undique	1251	4.537	5	4	0.14
616	subiungo	2534	9.19	10	9	0.122
617	laudo	4595	16.665	18	16	0.111
618	uix	1790	6.492	7	7	0.109
619	mille	3852	13.971	15	12	0.103
620	accipio	20568	74.597	80	40	0.101
621	sex	2330	8.451	9	6	0.091
622	--	164067	595.047	630	214	0.082
623	nitor1	1313	4.762	5	5	0.07
624	perfectio	2371	8.599	9	7	0.066
625	condicio	1847	6.699	7	7	0.063
626	tego	1320	4.787	5	5	0.063
627	repeto	1585	5.749	6	6	0.062
628	qui2	510903	1852.969	1922	391	0.053
629	disciplina	2928	10.619	11	10	0.051
630	desidero	3198	11.599	12	11	0.049
631	etiam	39518	143.326	148	95	0.046
632	ordo	10155	36.831	38	29	0.045
633	sensum	2419	8.773	9	9	0.037
634	occurro	2152	7.805	8	7	0.036
635	dico3	128642	466.566	477	142	0.032
636	orno	1621	5.879	6	6	0.029
637	aio	18645	67.623	69	41	0.029
638	recedo	3535	12.821	13	12	0.02
639	assumo	4097	14.859	15	11	0.014
640	continuo1	1367	4.958	5	4	0.012
641	abscondo	2190	7.943	8	8	0.01
642	studium	4111	14.91	15	13	0.009
643	studeo	3844	13.942	14	13	0.006
644	probo	4948	17.946	18	18	0.004
645	consto	3616	13.115	13	13	-0.013
646	uestis	2231	8.092	8	7	-0.016
647	uenerabilis	4191	15.2	15	14	-0.019
648	presens	10088	36.588	36	19	-0.023
649	retineo	2244	8.139	8	8	-0.025
650	excipio	1684	6.108	6	6	-0.026
651	exeo	4226	15.327	15	12	-0.031
652	uiuo	12684	46.003	45	33	-0.032
653	monstro	2257	8.186	8	7	-0.033
654	iuxta1	11099	40.254	39	26	-0.046
655	securus	1425	5.168	5	5	-0.048
