No.	Word	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts
1136	Gedeon	174	0.631	6	4
1137	Hactenus	1292	4.686	6	6
1138	populo	5161	18.718	6	6
1139	poterit	2245	8.142	6	6
1140	uidere	2288	8.298	6	6
1141	Uirtus	3165	11.479	6	5
1142	Psalterium	235	0.852	6	6
1143	Questionibus	203	0.736	6	6
1144	memoria	1462	5.303	6	6
1145	scribi	172	0.624	6	6
1146	mundi	7879	28.576	6	5
1147	ordines	714	2.59	6	5
1148	temporum	1249	4.53	6	6
1149	hodie	2361	8.563	6	5
1150	intelligimus	759	2.753	6	6
1151	Iudeorum	3613	13.104	6	6
1152	Dies	9338	33.868	6	6
1153	en	497	1.803	6	5
1154	Abraham	2764	10.025	6	5
1155	adiutorio	528	1.915	6	5
1156	exiit	364	1.32	6	4
1157	filius	12707	46.086	6	6
1158	apostolus	10154	36.827	6	6
1159	frater	3190	11.57	6	5
1160	artis	464	1.683	6	5
1161	posset	2669	9.68	6	6
1162	prefatis	248	0.9	6	3
1163	prius	6813	24.71	6	4
1164	Prudentius	88	0.319	6	5
1165	Xxxiii	246	0.892	6	2
1166	rebus	4893	17.746	6	6
1167	scientiam	1621	5.879	6	6
1168	scribens	631	2.289	6	6
1169	Osee	285	1.034	6	4
1170	terminum	631	2.289	6	6
1171	iisdem	384	1.393	6	6
1172	Clementis	159	0.577	6	6
1173	ingenii	366	1.327	6	4
1174	ipsos	2899	10.514	6	6
1175	Lucam	253	0.918	6	4
1176	exempla	1187	4.305	6	6
1177	aliqui	757	2.746	6	4
1178	Felicem	277	1.005	6	4
1179	auctore	842	3.054	6	6
1180	auro	1222	4.432	6	6
1181	permaneat	574	2.082	6	4
1182	ueluti	1816	6.586	6	5
1183	uides	692	2.51	6	4
1184	prolixitas	48	0.174	6	4
1185	Regule	532	1.93	6	5
1186	rex	9240	33.512	6	6
1187	scribat	88	0.319	6	5
1188	seriem	375	1.36	6	6
1189	sumus	6102	22.131	6	6
1190	paganorum	411	1.491	6	6
1191	Pastoralem	92	0.334	6	4
1192	Cassiani	93	0.337	6	4
1193	decreui	101	0.366	6	4
1194	desiderat	919	3.333	6	5
1195	disputat	130	0.472	6	4
1196	annos	4404	15.973	6	6
1197	Apocalypsin	47	0.171	6	5
1198	testante	269	0.976	6	6
1199	testis	851	3.087	6	5
1200	prior	1076	3.903	6	4
1201	uiros	1438	5.215	6	6
1202	questiones	281	1.019	6	5
1203	quicunque	2670	9.684	6	6
1204	recipiunt	279	1.012	6	6
1205	Responsio	412	1.494	6	2
1206	sententiis	525	1.904	6	6
1207	nempe	785	2.847	6	6
1208	singulorum	685	2.484	6	4
1209	Patet	1198	4.345	6	6
1210	Carmen	320	1.161	6	6
1211	inuenit	1618	5.868	6	6
1212	debere	1928	6.993	6	4
1213	describit	335	1.215	6	6
1214	legebat	36	0.131	6	6
1215	domni	1434	5.201	6	6
1216	Duodecimus	50	0.181	6	6
1217	aliquis	2776	10.068	6	5
1218	Ezre	17	0.062	6	5
1219	anni	2145	7.78	6	4
1220	arbitror	708	2.568	6	6
1221	auctores	435	1.578	6	4
1222	Habes	1184	4.294	6	5
1223	titulatur	22	0.08	6	3
1224	personis	812	2.945	6	3
1225	uariis	1047	3.797	6	6
1226	Uidi	927	3.362	6	6
1227	Quinquaginta	873	3.166	6	6
1228	rege	2672	9.691	6	5
1229	rei	2694	9.771	6	6
1230	reperiuntur	242	0.878	6	5
1231	Romane	1941	7.04	6	5
1232	scribendi	136	0.493	6	6
1233	nil	1573	5.705	6	5
1234	sexti	50	0.181	6	6
1235	oratio	1614	5.854	6	6
1236	commenti	14	0.051	6	4
1237	constitutione	254	0.921	6	4
1238	contulit	808	2.931	6	5
1239	Iuliani	249	0.903	6	3
1240	lapides	1022	3.707	6	5
1241	dicunt	3419	12.4	6	6
1242	dimissus	124	0.45	6	5
1243	Leuitico	212	0.769	6	4
1244	!	3970	14.399	6	6
1245	euangeliste	616	2.234	6	6
1246	fidem	9048	32.816	6	6
1247	auctoritatis	1067	3.87	6	6
1248	auri	782	2.836	6	6
1249	tractatu	240	0.87	6	5
1250	Tricesimus	67	0.243	6	1
1251	presentem	1105	4.008	6	5
1252	Uocatione	340	1.233	6	3
1253	Sapientia	3918	14.21	6	6
1254	Scoti	41	0.149	6	3
1255	minus	3836	13.913	6	6
1256	Monacensis	25	0.091	6	2
1257	mysteriorum	316	1.146	6	6
1258	solummodo	1434	5.201	6	5
1259	opere	3797	13.771	6	3
1260	synodo	1933	7.011	6	3
1261	pariter	3118	11.309	6	6
1262	Paschasius	134	0.486	6	3
1263	Ceterum	1144	4.149	6	6
1264	comitis	558	2.024	6	5
1265	considerandum	399	1.447	6	4
1266	intelliguntur	741	2.688	6	5
1267	Isaia	664	2.408	6	5
1268	Decretorum	96	0.348	6	1
1269	iuuenis	449	1.629	6	6
1270	Latinos	187	0.678	6	6
1271	Enchiridii	7	0.025	6	1
1272	auctoris	371	1.346	6	6
1273	Hester	18	0.065	6	3
1274	Percussit	664	2.408	5	4
1275	Petrus	3145	11.406	5	5
1276	plicabitur	5	0.018	5	5
1277	Predicatione	966	3.504	5	3
1278	uidit	2598	9.423	5	4
1279	recipiebant	31	0.112	5	4
1280	rem	1783	6.467	5	5
1281	respicere	202	0.733	5	4
1282	sacri	1206	4.374	5	4
1283	Samuel	393	1.425	5	3
1284	scientie	1694	6.144	5	4
1285	missus	1398	5.07	5	5
1286	scriptorum	173	0.627	5	4
1287	sermones	749	2.717	5	4
1288	nostram	4284	15.537	5	5
