No.	lemma	Total no. in this subcorpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Z-score value
439	posterus	1849	6.706	12	9	1.851
440	terminus	2478	8.987	15	11	1.839
441	eruditio	536	1.944	5	5	1.833
442	cito2	539	1.955	5	4	1.82
443	paganus	1472	5.339	10	9	1.801
444	doctrina	7028	25.49	35	28	1.785
445	denique	3179	11.53	18	17	1.758
446	intus1	1906	6.913	12	8	1.745
447	quadraginta	1702	6.173	11	9	1.742
448	maxime	3871	14.04	21	20	1.724
449	documentum	740	2.684	6	6	1.719
450	plus2	927	3.362	7	7	1.711
451	recondo	566	2.053	5	5	1.708
452	instrumentum	566	2.053	5	5	1.708
453	pre1	2138	7.754	13	7	1.704
454	marca2	1320	4.787	9	8	1.697
455	ars	2369	8.592	14	13	1.674
456	latus1	1346	4.882	9	9	1.638
457	claudo	1350	4.896	9	8	1.629
458	comprehendo	2619	9.499	15	14	1.623
459	prescientia	969	3.514	7	5	1.593
460	qui2	510903	1852.969	1922	391	1.592
461	triginta	1575	5.712	10	10	1.585
462	nepos	973	3.529	7	5	1.582
463	sumo	4460	16.176	23	19	1.572
464	singulus	7284	26.418	35	21	1.572
465	nempe	785	2.847	6	6	1.572
466	sancta	2441	8.853	14	12	1.562
467	bellum	3563	12.923	19	15	1.552
468	ubi	18833	68.305	81	62	1.476
469	condio	1216	4.41	8	8	1.471
470	desum	2510	9.103	14	12	1.457
471	libellus	1438	5.215	9	9	1.438
472	decem	3204	11.62	17	17	1.431
473	supra2	3902	14.152	20	14	1.422
474	--	164067	595.047	630	214	1.412
475	synodus1	5574	20.216	27	11	1.398
476	dispositio	1251	4.537	8	4	1.391
477	conficio	1462	5.303	9	8	1.389
478	ornamentum	854	3.097	6	5	1.365
479	multus	21416	77.673	90	63	1.342
480	typus	863	3.13	6	6	1.34
481	quinquaginta	873	3.166	6	6	1.312
482	censeo	1504	5.455	9	7	1.304
483	nomino	3089	11.203	16	15	1.284
484	thesaurus	1965	7.127	11	8	1.264
485	subsequor	1534	5.564	9	8	1.245
486	9	1756	6.369	10	10	1.241
487	approbo	1107	4.015	7	7	1.24
488	denarius2	900	3.264	6	4	1.238
489	officium	6002	21.768	28	22	1.228
490	perspicio	704	2.553	5	4	1.218
491	solidus2	706	2.561	5	5	1.212
492	aduocatus	710	2.575	5	3	1.2
493	discutio	1125	4.08	7	6	1.198
494	orthodoxus	915	3.319	6	5	1.197
495	recito	711	2.579	5	5	1.196
496	reuera	711	2.579	5	5	1.196
497	amen	3393	12.306	17	17	1.196
498	notitia	1560	5.658	9	8	1.195
499	studiosus1	922	3.344	6	6	1.179
500	charta	720	2.611	5	4	1.169
501	noto	2965	10.754	15	14	1.142
502	uocatio	938	3.402	6	3	1.137
503	oraculum	731	2.651	5	5	1.135
504	grece	1158	4.2	7	5	1.122
505	uestimentum	2281	8.273	12	11	1.122
506	excedo	947	3.435	6	6	1.114
507	siue	22976	83.331	94	62	1.114
508	prout	1383	5.016	8	8	1.109
509	adicio	1383	5.016	8	6	1.109
510	pono	17333	62.864	72	44	1.089
511	differentia	1173	4.254	7	7	1.089
512	indicium	1176	4.265	7	7	1.082
513	tracto	1848	6.702	10	6	1.081
514	mirabilis	1182	4.287	7	6	1.069
515	liber2	4479	16.245	21	12	1.056
516	sepe	5477	19.864	25	18	1.04
517	edificatio	764	2.771	5	1	1.039
518	indico1	2105	7.635	11	11	1.037
519	ultimus	1647	5.973	9	6	1.034
520	porrigo1	778	2.822	5	5	0.999
521	adiutorium	1440	5.223	8	7	0.996
522	disco	4055	14.707	19	19	0.989
523	transmitto	1001	3.631	6	6	0.981
524	testa	1003	3.638	6	5	0.976
525	deuoro	1004	3.641	6	5	0.974
526	memoria	4810	17.445	22	21	0.971
527	sacro	789	2.862	5	5	0.969
528	custos	1686	6.115	9	3	0.965
529	ianuarius	796	2.887	5	4	0.949
530	recipio	7846	28.456	34	28	0.945
531	floreo	1019	3.696	6	6	0.938
532	pene	2894	10.496	14	13	0.927
533	regnum	16889	61.254	69	39	0.926
534	emendo	1716	6.224	9	8	0.912
535	industria	821	2.978	5	5	0.882
536	computo	842	3.054	5	5	0.828
537	defero	2734	9.916	13	10	0.821
538	monachus	5525	20.038	24	16	0.773
539	incarnatio	2283	8.28	11	10	0.771
540	ceterus	13284	48.179	54	40	0.767
541	propono	2062	7.479	10	7	0.739
542	uas2	2311	8.382	11	10	0.732
543	ceterum	1120	4.062	6	6	0.713
544	saltem	1600	5.803	8	8	0.704
545	episcopalis	1126	4.084	6	5	0.701
546	ubicumque	895	3.246	5	5	0.696
547	ingenium	1372	4.976	7	5	0.683
548	cano	1386	5.027	7	7	0.657
549	pronuntio	1150	4.171	6	6	0.651
550	tantum	9319	33.799	38	25	0.637
551	aptus	1413	5.125	7	7	0.608
552	secularis1	2410	8.741	11	10	0.595
553	reseruo	1179	4.276	6	6	0.592
554	tabernaculum	2916	10.576	13	6	0.592
555	colloco	1182	4.287	6	4	0.586
556	consolatio	1431	5.19	7	6	0.575
557	accipio	20568	74.597	80	40	0.568
558	tot	1684	6.108	8	6	0.563
559	episcopatus	1692	6.137	8	7	0.55
560	uanitas	959	3.478	5	4	0.548
561	transfero	2451	8.889	11	10	0.54
562	exprimo	2201	7.983	10	8	0.537
563	preter	2710	9.829	12	12	0.533
564	magnitudo	1705	6.184	8	7	0.529
565	materia1	1460	5.295	7	5	0.524
566	quippe	7694	27.905	31	21	0.491
567	cur	3774	13.688	16	14	0.49
568	littera	7696	27.912	31	28	0.49
569	paruulus2	990	3.591	5	5	0.48
570	pulcher	1486	5.39	7	7	0.478
571	fere	991	3.594	5	5	0.478
572	necnon	1487	5.393	7	7	0.477
573	an	4310	15.632	18	12	0.473
574	haud	998	3.62	5	5	0.463
575	dico3	128642	466.566	477	142	0.46
576	expedio	1001	3.631	5	5	0.456
577	dextera	3030	10.989	13	6	0.456
578	arbitrium	2270	8.233	10	9	0.442
579	sedeo	5409	19.618	22	15	0.425
580	postmodo	1777	6.445	8	7	0.416
581	certe	3334	12.092	14	12	0.405
582	queo	1026	3.721	5	4	0.404
583	congrego	3349	12.146	14	14	0.388
584	breuis1	1545	5.604	7	7	0.379
585	exhibeo	3621	13.133	15	11	0.377
586	rite	1043	3.783	5	4	0.369
587	medicus2	1043	3.783	5	5	0.369
588	etiam	39518	143.326	148	95	0.349
589	lucus1	1321	4.791	6	4	0.324
590	conditor	1584	5.745	7	7	0.315
591	congruo	1071	3.884	5	5	0.312
592	uarius1	2638	9.568	11	11	0.301
593	hactenus	1334	4.838	6	6	0.301
594	augeo	1598	5.796	7	6	0.293
595	columna	1084	3.932	5	4	0.287
596	quodammodo	1085	3.935	5	4	0.285
597	porro	2399	8.701	10	9	0.271
598	felix	2663	9.658	11	9	0.271
599	paradisus	1879	6.815	8	4	0.262
600	exilium	1097	3.979	5	4	0.261
601	difficilis	1097	3.979	5	5	0.261
602	decurro	1098	3.982	5	5	0.259
603	uenerandus	1363	4.943	6	5	0.25
604	utilis	1632	5.919	7	7	0.239
605	dogma	1640	5.948	7	6	0.226
606	superius	3237	11.74	13	12	0.222
607	laudo	4595	16.665	18	16	0.204
608	spiro	1127	4.088	5	5	0.204
609	argumentum	1407	5.103	6	6	0.176
610	canonicus1	1154	4.185	5	4	0.154
611	proinde	1159	4.204	5	5	0.145
612	mille	3852	13.971	15	12	0.142
613	solummodo	1434	5.201	6	5	0.131
614	exinde	1244	4.512	5	5	0.115
615	ordo	10155	36.831	38	29	0.11
616	undique	1251	4.537	5	4	0.109
617	aio	18645	67.623	69	41	0.107
618	subiungo	2534	9.19	10	9	0.102
619	hereo	1183	4.291	5	5	0.101
620	lateo	1456	5.281	6	6	0.095
621	principatus	1194	4.331	5	2	0.081
622	medium	1199	4.349	5	5	0.073
623	perfectio	2371	8.599	9	7	0.068
624	arbitror	1750	6.347	7	7	0.061
625	congruus	1478	5.361	6	6	0.06
626	desidero	3198	11.599	12	11	0.059
627	propheto	1207	4.378	5	5	0.059
628	disciplina	2928	10.619	11	10	0.058
629	condicio	1847	6.699	7	7	0.058
630	nitor1	1313	4.762	5	5	0.055
631	repeto	1585	5.749	6	6	0.052
632	tego	1320	4.787	5	5	0.049
633	sensum	2419	8.773	9	9	0.038
634	occurro	2152	7.805	8	7	0.035
635	recedo	3535	12.821	13	12	0.025
636	orno	1621	5.879	6	6	0.025
637	assumo	4097	14.859	15	11	0.018
638	sex	2330	8.451	9	6	0.017
639	studium	4111	14.91	15	13	0.012
640	abscondo	2190	7.943	8	8	0.01
641	continuo1	1367	4.958	5	4	0.009
642	studeo	3844	13.942	14	13	0.008
643	probo	4948	17.946	18	18	0.006
644	uix	1790	6.492	7	7	0.003
645	uocabulum	1799	6.525	6	6	-0.01
646	presens	10088	36.588	36	19	-0.014
647	cultus2	2356	8.545	8	8	-0.015
648	consto	3616	13.115	13	13	-0.016
649	uestis	2231	8.092	8	7	-0.016
